normalizedCapacity,voltage
0.0,1.17982
0.0006379594465582994,1.16767
0.000797448559253921,1.13609
0.0009569386705414803,1.10936
0.0011164287818290395,1.08264
0.001278245612330824,1.05591
0.0014380203223205523,1.03162
0.0015977950323102807,1.00975
0.001757569742300009,0.98789
0.0019173444522897374,0.96845
0.002077119162279466,0.94658
0.002236893872269194,0.92958
0.0023966685822589223,0.91257
0.002556443292248651,0.89799
0.002716218002238379,0.88342
0.0028660067928537496,0.86884
0.003025781502843478,0.85183
0.0031855562128332068,0.83725
0.003345330922822935,0.82268
0.0035051056328126635,0.81053
0.0036648803428023916,0.79838
0.0038246550527921202,0.78866
0.003984429762781849,0.77895
0.0041442044727715765,0.76923
0.0043039791827613055,0.76194
0.004463753892751034,0.75465
0.004623528602740763,0.74493
0.00478330331273049,0.73764
0.004943078022720219,0.73278
0.005102852732709947,0.7255
0.005262627442699676,0.72064
0.005422402152689404,0.71578
0.0055821768626791324,0.70849
0.0057419515726688615,0.70363
0.00590172628265859,0.69634
0.006061500992648319,0.69148
0.006221275702638046,0.68419
0.006381050412627775,0.67933
0.006540825122617503,0.67447
0.006700599832607232,0.66962
0.006860374542596959,0.66476
0.007020149252586688,0.6599
0.0071799239625764165,0.65504
0.0073396986725661455,0.65261
0.007499473382555873,0.64775
0.007659248092545602,0.64289
0.007819022802535328,0.64046
0.007978797512525058,0.6356
0.008138572222514786,0.63074
0.008298346932504516,0.62831
0.008448135723119884,0.62345
0.008607910433109614,0.62102
0.008767685143099342,0.61617
0.008927459853089072,0.61374
0.009087234563078798,0.61131
0.009247009273068527,0.60645
0.009406783983058256,0.60402
0.009566558693047985,0.59916
0.009726333403037711,0.59673
0.009886108113027441,0.5943
0.010045882823017169,0.58944
0.010205657533006899,0.58701
0.010365432242996627,0.58458
0.010525206952986354,0.58215
0.010684981662976083,0.57729
0.010844756372965812,0.57486
0.01100453108295554,0.57243
0.011164305792945268,0.57
0.011324080502934996,0.56515
0.011483855212924726,0.56272
0.011643629922914454,0.56029
0.01180340463290418,0.55786
0.01196317934289391,0.55543
0.012122954052883638,0.553
