normalizedCapacity,voltage
0.0,1.55921709667747
1.1368544871576239e-08,1.55845455010861
8.41947501806346e-08,1.55788264018196
2.2969602313855752e-07,1.55731073025532
5.185876457634022e-07,1.55673882032867
6.983879814188681e-07,1.55616691040202
9.85657656749825e-07,1.55559500047538
1.2729778850222942e-06,1.55502309054873
1.5601637715746097e-06,1.55445118062209
1.8473026475549597e-06,1.55387927069544
2.170470135903928e-06,1.5533073607688
2.4578714323223497e-06,1.55273545084215
2.709314135575972e-06,1.55216354091551
2.924837211729688e-06,1.55159163098886
3.1763135674938975e-06,1.55101972106222
3.4635641738858623e-06,1.55044781113557
3.7865646574423336e-06,1.54987590120893
4.073855172897053e-06,1.54930399128228
4.361210418511494e-06,1.54873208135563
4.648567435310717e-06,1.54816017142899
4.899917887315139e-06,1.54758826150234
5.223208700692403e-06,1.5470163515757
5.546386007313231e-06,1.54644444164905
5.869675049505725e-06,1.54587253172241
6.192972947622062e-06,1.54530062179576
6.444435133908137e-06,1.54472871186912
6.767713548992021e-06,1.54415680194247
7.126893879328127e-06,1.54358489201583
7.4501917774444504e-06,1.54301298208918
7.773405468818665e-06,1.54244107216254
8.096430730901755e-06,1.54186916223589
8.383608544566766e-06,1.54129725230925
8.742735581978497e-06,1.5407253423826
9.137691371682427e-06,1.54015343245595
9.425038166436407e-06,1.53958152252931
9.712455403517745e-06,1.53900961260266
1.007157889984997e-05,1.53843770267602
1.04305312556152e-05,1.53786579274937
1.0825521657597734e-05,1.53729388282273
1.1148753063399647e-05,1.53672197289608
1.1507802590515105e-05,1.53615006296944
1.1902716284588036e-05,1.53557815304279
1.2261671794429578e-05,1.53500624311615
1.2620847218854772e-05,1.5344343331895
1.2980197582928627e-05,1.53386242326286
1.333940665728441e-05,1.53329051333621
1.3698364322733921e-05,1.53271860340956
1.405731313870971e-05,1.53214669348292
1.4452167809630463e-05,1.53157478355627
1.4847594156557928e-05,1.53100287362963
1.524240988979401e-05,1.53043096370298
1.5601335697137912e-05,1.52985905377634
1.5960303205369455e-05,1.52928714384969
1.6391321018720676e-05,1.52871523392305
1.678618907092297e-05,1.5281433239964
1.7181111218436455e-05,1.52757141406976
1.7504400260628868e-05,1.52699950414311
1.789946423837486e-05,1.52642759421647
1.8330399058883993e-05,1.52585568428982
1.872531314383022e-05,1.52528377436318
1.912016427496155e-05,1.52471186443653
1.955117049885607e-05,1.52413995450988
1.9946202999049616e-05,1.52356804458324
2.0341061209759934e-05,1.52299613465659
2.077198894294994e-05,1.52242422472995
2.123900962908509e-05,1.5218523148033
2.1633876689269114e-05,1.52128040487666
2.2064921476745217e-05,1.52070849495001
2.24241411769196e-05,1.52013658502337
2.2890784549098697e-05,1.51956467509672
2.3357560506003238e-05,1.51899276517008
2.3752443495240104e-05,1.51842085524343
2.4147381963969657e-05,1.51784894531679
2.4578442285755238e-05,1.51727703539014
2.5045418692271173e-05,1.51670512546349
2.554818745342587e-05,1.51613321553685
2.5979045160961975e-05,1.5155613056102
2.6409866077391354e-05,1.51498939568356
2.6840567807146964e-05,1.51441748575691
2.7271583849313328e-05,1.51384557583027
2.773824552158502e-05,1.51327366590362
2.820505626104964e-05,1.51270175597698
2.86716842975808e-05,1.51212984605033
2.9138576501224727e-05,1.51155793612369
2.956961911116262e-05,1.51098602619704
3.003645448080263e-05,1.5104141162704
3.0539322175462104e-05,1.50984220634375
3.100628167380707e-05,1.5092702964171
3.143704535245918e-05,1.50869838649046
3.186788398073639e-05,1.50812647656381
3.237052330737171e-05,1.50755456663717
3.287303713660072e-05,1.50698265671052
3.3375646756868443e-05,1.50641074678388
3.3842256501047154e-05,1.50583883685723
3.430959503551249e-05,1.50526692693059
3.477657539075134e-05,1.50469501700394
3.5279379164087916e-05,1.5041231070773
3.581833158658399e-05,1.50355119715065
3.628496964907881e-05,1.50297928722401
3.6715723095365726e-05,1.50240737729736
3.721842045829504e-05,1.50183546737072
3.772104640493882e-05,1.50126355744407
3.825960083202637e-05,1.50069164751742
3.872655107454413e-05,1.50011973759078
3.926539330303143e-05,1.49954782766413
3.9732268601084386e-05,1.49897591773749
4.0163007888213176e-05,1.49840400781084
4.077343539616251e-05,1.4978320978842
4.131220539952759e-05,1.49726018795755
4.1814756396546556e-05,1.49668827803091
4.235324255884492e-05,1.49611636810426
4.281996580074989e-05,1.49554445817762
4.335838548492392e-05,1.49497254825097
4.3860902853942504e-05,1.49440063832433
4.4399373091058034e-05,1.49382872839768
4.490227266704345e-05,1.49325681847103
4.5405191726061266e-05,1.49268490854439
4.5979911478277486e-05,1.49211299861774
4.6554631229203566e-05,1.4915410886911
4.70572634749699e-05,1.49096917876445
4.759575102402975e-05,1.49039726883781
4.809856503102166e-05,1.48982535891116
4.863691922908976e-05,1.48925344898452
4.921114919389205e-05,1.48868153905787
4.978571235428246e-05,1.48810962913123
5.0360032583717367e-05,1.48753771920458
5.089886595628069e-05,1.48696580927794
