normalizedCapacity,voltage
0.0,0.93433
0.0005104156697610616,0.92774
0.0007656235046415926,0.92116
0.001276039174402654,0.91457
0.0017864548441637157,0.90798
0.0020416626790442467,0.9014
0.002807286183685839,0.89481
0.003317701853446901,0.88822
0.003828117523207962,0.88164
0.0040833253580884925,0.87505
0.004593741027849554,0.86846
0.004848948862730085,0.86188
0.005869780202252209,0.85529
0.006380195872013271,0.84871
0.006380195872013271,0.84212
0.007145819376654863,0.83553
0.007656235046415924,0.82895
0.007911442881296455,0.82236
0.008932274220818577,0.81577
0.00944268989057964,0.80919
0.00969789772546017,0.8026
0.010208313395221233,0.79602
0.010718729064982295,0.78943
0.011484352569623888,0.78284
0.011994768239384949,0.77626
0.01250518390914601,0.76967
0.014036430918429195,0.76308
0.014546846588190257,0.7565
0.015312470092831848,0.74991
0.01582288576259291,0.74332
0.016588509267234503,0.73674
0.017098924936995566,0.73015
0.017864548441637155,0.72357
0.018374964111398218,0.71698
0.01914058761603981,0.71039
0.019906211120681402,0.70381
0.020416626790442465,0.69722
0.021182250295084058,0.69063
0.02169266596484512,0.68405
0.022458289469486713,0.67746
0.023223912974128305,0.67087
0.023734328643889364,0.66429
0.024244744313650427,0.6577
0.02526557565317255,0.65112
0.025775991322933612,0.64453
0.02628640699269467,0.63794
0.027307238332216797,0.63136
0.02807286183685839,0.62477
0.02807286183685839,0.6116
0.028583277506619452,0.59843
0.028838485341499985,0.60501
0.028838485341499985,0.61818
0.029859316681022107,0.59184
0.030624940185663696,0.58525
0.03088014802054423,0.57867
0.03164577152518582,0.57274
0.03266660286470795,0.56813
0.03343222636934953,0.56286
0.03445305770887166,0.55693
0.03572909688327432,0.55035
0.0372603438925575,0.54573
0.037770759562318554,0.53915
0.03879159090184068,0.53454
0.040067630076243345,0.52993
0.041088461415765457,0.52466
0.042364500590168115,0.52005
0.0438957475994513,0.51544
0.0464478259482566,0.51544
0.04797907295753979,0.50885
0.048999904297061914,0.50292
0.05027594347146457,0.49963
0.05155198264586722,0.49502
0.05257281398538934,0.49107
0.05410406099467253,0.48778
0.054614476664433594,0.48251
0.05640093150859731,0.48053
0.057166555013238904,0.47592
0.05970799970225753,0.47329
0.061239246711540705,0.46999
0.06302570155570443,0.4667
0.0645569485649876,0.46275
0.06608819557427079,0.45814
0.06761944258355397,0.4555
0.06864027392307609,0.45155
0.07042672876723981,0.44957
0.07195797577652299,0.44628
0.07374443062068671,0.44365
0.0752756776299699,0.44101
0.07706213247413361,0.43772
0.07859337948341681,0.43443
0.08063504216246105,0.43179
0.08242149700662475,0.4285
0.08395274401590794,0.42521
0.08548399102519114,0.42191
0.08701523803447432,0.41796
0.08931210854839909,0.41533
0.0918641868972044,0.41203
0.09390584957624865,0.40742
0.09645792792505396,0.40545
0.09875479843897873,0.40149
0.10079646111802298,0.39886
0.10283812379706722,0.39557
0.105134994310992,0.39359
0.10743186482491678,0.39096
0.10998394317372208,0.38898
0.1125360215225274,0.38766
0.1150880998713327,0.38503
0.117640178220138,0.38305
0.12019225656894332,0.38042
0.12273370125796193,0.37976
0.12528577960676723,0.37844
0.12783785795557256,0.37712
0.13038993630437787,0.37515
0.1329420146531832,0.37251
0.1354940930019885,0.3712
0.1380461713507938,0.36988
0.1405982496995991,0.3679
0.1431503280484044,0.36659
0.14570240639720972,0.36527
0.14825448474601505,0.36395
0.15080656309482032,0.36264
0.15335864144362565,0.36198
0.15591071979243096,0.36066
0.15846279814123626,0.35934
0.16101487649004156,0.35868
0.1635669548388469,0.35737
0.16611903318765217,0.35671
0.1686711115364575,0.35539
0.17122318988526283,0.35473
0.1737752682340681,0.35341
0.17632734658287344,0.35276
0.17887942493167874,0.3521
0.18143150328048405,0.35078
0.18397294796950264,0.35012
0.18652502631830797,0.34946
0.18907710466711328,0.3488
0.19162918301591858,0.34815
0.1941812613647239,0.34749
0.1967333397135292,0.34946
0.19928541806233452,0.34946
0.20183749641113982,0.34946
