normalizedCapacity,voltage
0.0,1.16713
0.000701574095117637,1.16289
0.0009288445766346183,1.15865
0.0009288445766346183,1.15441
0.0009288445766346183,1.15017
0.0011659963834349464,1.14593
0.0011659963834349464,1.14169
0.0011659963834349464,1.13745
0.0013932668649519278,1.13321
0.0013932668649519278,1.12897
0.0013932668649519278,1.12474
0.0013932668649519278,1.1205
0.0016304186717522556,1.11626
0.0016304186717522556,1.11202
0.0016304186717522556,1.10778
0.001857689153269237,1.10354
0.001857689153269237,1.0993
0.001857689153269237,1.09506
0.001857689153269237,1.09082
0.002094840960069565,1.08658
0.002094840960069565,1.08234
0.002094840960069565,1.0781
0.002094840960069565,1.07386
0.002322111441586546,1.06962
0.002322111441586546,1.06538
0.002322111441586546,1.06115
0.002559263248386874,1.05691
0.002559263248386874,1.05267
0.002559263248386874,1.04843
0.002559263248386874,1.04419
0.0027964150551872016,1.03995
0.0027964150551872016,1.03571
0.0027964150551872016,1.03147
0.0027964150551872016,1.02723
0.003023685536704183,1.02299
0.003023685536704183,1.01875
0.003023685536704183,1.01451
0.003023685536704183,1.01027
0.003260837343504511,1.00603
0.003260837343504511,1.00179
0.003260837343504511,0.99755
0.003260837343504511,0.99332
0.003488107825021492,0.98908
0.003488107825021492,0.98484
0.003488107825021492,0.9806
0.003488107825021492,0.97636
0.003488107825021492,0.97212
0.00372525963182182,0.96788
0.00372525963182182,0.96364
0.00372525963182182,0.9594
0.00372525963182182,0.95516
0.003952530113338802,0.95092
0.003952530113338802,0.94668
0.003952530113338802,0.94244
0.003952530113338802,0.9382
0.003952530113338802,0.93396
0.0041896819201391305,0.92973
0.0041896819201391305,0.92549
0.0041896819201391305,0.92125
0.0041896819201391305,0.91701
0.0041896819201391305,0.91277
0.004416952401656111,0.90853
0.004416952401656111,0.90429
0.004416952401656111,0.90005
0.004416952401656111,0.89581
0.00465410420845644,0.89157
0.00465410420845644,0.88733
0.00465410420845644,0.88309
0.00465410420845644,0.87885
0.00465410420845644,0.87461
0.0048813746899734195,0.87037
0.0048813746899734195,0.86614
0.0048813746899734195,0.8619
0.0048813746899734195,0.85766
0.0048813746899734195,0.85342
0.005118526496773749,0.84918
0.005118526496773749,0.84494
0.005118526496773749,0.8407
0.005118526496773749,0.83646
0.005118526496773749,0.83222
0.005345796978290729,0.82798
0.005345796978290729,0.82374
0.005345796978290729,0.8195
0.005345796978290729,0.81526
0.005345796978290729,0.81102
0.005582948785091058,0.80678
0.005582948785091058,0.80254
0.005582948785091058,0.79831
0.005582948785091058,0.79407
0.005582948785091058,0.78983
0.0058201005918913865,0.78559
0.0058201005918913865,0.78135
0.0058201005918913865,0.77711
0.0058201005918913865,0.77287
0.006047371073408367,0.76863
