voltage,normalizedCapacity
1.4995688,0.0
1.4807411,9.982466384558313e-05
1.46132,0.00019965017985035228
1.441918,0.0002994764550339421
1.4228024,0.00040047679667918126
1.404126,0.000500302254592126
1.3860034,0.0006001275360002787
1.3681864,0.0006999530954722128
1.3509423,0.00079977845903026
1.3343283,0.0008996042359827213
1.3181344,0.0010006046618393643
1.3027809,0.0011004310639274636
1.2880384,0.0012002573706913588
1.2741361,0.00130008320781636
1.2608259,0.0013999093953696886
1.2479547,0.0014997355421341551
1.2358094,0.0016007356300305965
1.224237,0.0017005606789940448
1.2132946,0.001800385916702237
1.2029061,0.0019002111547781093
1.1930714,0.002000036754125633
1.1836187,0.0020998624502729835
1.1746624,0.0021996881198979813
1.1659926,0.002300688179347177
1.1579338,0.0024005137449285424
1.1502379,0.0025003385014330253
1.142943,0.0026001645719642384
1.1359919,0.002699990261038624
1.129289,0.002799815968118114
1.1229681,0.0029008156950411164
1.1167235,0.0030006412812699293
1.1110901,0.0031004670276240966
1.1056476,0.0032002927576480766
1.100396,0.003300118050711593
1.0953164,0.003399943798850719
1.0903322,0.0035009442299994095
1.0857109,0.003600769629665716
1.0812422,0.0037005952188544373
1.0768882,0.0038004209925944065
1.0727444,0.0039002465148832042
1.0688295,0.004000071342302463
1.0648956,0.004099896732505615
1.0611145,0.004200896340053278
1.0575052,0.004300721661802465
1.054068,0.004400546882245821
1.0505924,0.004500372367350181
1.0474223,0.004600197199157891
1.0440996,0.004700022438526698
1.0411396,0.004801022263929495
1.0380268,0.004900847944876841
1.0351815,0.005000673255597276
1.0324888,0.005100498774232833
1.0298153,0.0052003245570339165
1.0269127,0.005300150400246113
1.0243537,0.005399976313347027
1.0217757,0.00550097595898763
1.0193313,0.00560080156967959
1.0169252,0.005700626719128312
1.0145191,0.005800452344144124
1.0121893,0.005900277900290628
1.0099359,0.006000103177643783
1.0076634,0.006101102228370985
1.0056583,0.006200927178543282
1.0034813,0.006300752112725056
1.0012852,0.006400577341247221
0.99941367,0.006500402302878193
0.99744678,0.006600227150694911
0.99542254,0.006701227645870122
0.99355108,0.006801054046410825
0.99171782,0.006900880180976934
0.98982728,0.007000705896892974
0.98795581,0.007100532254774369
0.98623711,0.007200358398130233
0.98455662,0.007300183690912003
0.98272336,0.007401183460377341
0.98110014,0.007501009085372205
0.97940058,0.007600835227970184
0.97779644,0.007700660866887421
0.97617322,0.007800486748765021
0.97460735,0.00790031207723278
0.97294593,0.008001311749222003
0.97164738,0.008101136906454058
0.97010058,0.008200962028663418
0.96872562,0.00830078749874021
0.96717876,0.008400612954883358
0.96565109,0.008500438449465613
0.96429521,0.008601438019621028
0.96292025,0.00870126343441557
0.96152622,0.008801088680757988
0.96017039,0.008900913615488388
0.95890999,0.009000738991928164
0.95745867,0.009100564272059408
0.95612192,0.009200388551930306
0.95482337,0.009301387343864329
0.95369667,0.00940121159013269
0.95230263,0.009501036709920217
0.95117593,0.009600861831503828
0.94991553,0.009700687084750675
0.94871247,0.009800512452925928
0.94745207,0.009901511746336208
0.94640177,0.01000133711796786
0.94510323,0.010101162675511147
0.94401473,0.010200988548197511
0.94288802,0.010300814038412251
0.94176131,0.010400639128070554
0.94065374,0.010501638775635909
0.93950796,0.01060146438431792
0.9385913,0.010701289939212653
0.93719727,0.010801115635748619
0.93620425,0.010900941495276846
0.93515396,0.011000767345728073
0.93416095,0.01110059240959447
0.93305331,0.011201592522883077
0.93202209,0.01130141834231
0.93108636,0.011401243939948392
0.9300552,0.01150106974211698
0.92904305,0.011600895201043276
0.92808825,0.011700721168022874
0.92709523,0.011801721364893969
0.92610222,0.01190154708170969
0.92509007,0.012001373005536949
0.92409706,0.012101199289442853
0.92331409,0.012201025156927283
0.92235929,0.012300851632028483
0.92140448,0.012401851827906717
0.92048782,0.012501677500640521
0.91957122,0.012601502504633459
0.91876912,0.012701327887263695
0.91779524,0.01280115404490484
0.91691679,0.012900979630000156
0.91601926,0.013000805461135887
0.91514081,0.013101805174623919
0.91431963,0.013201630427459905
0.91344124,0.013301455398766603
0.91269648,0.013401280091923606
0.91172254,0.013501105339007594
0.91097778,0.013600931083586051
0.90996563,0.013701930959350189
0.90922087,0.013801756216957329
0.90836155,0.01390158148666449
0.90754038,0.014001406054879843
0.90675741,0.014101231200384482
0.9059363,0.01420105623370573
0.90522975,0.014300881928801011
0.90444678,0.014401881069986817
0.90372109,0.014501706112250455
0.90282357,0.014601531271490735
0.90196419,0.014701356916841905
0.90125763,0.014801182524084687
0.90055108,0.014901007856207842
0.89967263,0.015002007309350664
0.89902335,0.015101831752035619
0.8981449,0.015201656926882854
0.89753383,0.015301482261879855
0.89684635,0.015401308113314848
0.89606339,0.01550113316366394
0.89531863,0.015602133133548598
0.89468843,0.01570195913894303
0.89388639,0.01580178505408437
0.89323711,0.015901610741971963
0.89245415,0.016001435792076427
0.89190036,0.016101260874307074
0.89100283,0.016201086394704918
0.89042991,0.01630208571711178
0.8896088,0.0164019110239898
0.8889786,0.016501736609830866
0.88819563,0.016601562404670585
0.88758457,0.016701387936547754
0.88695437,0.01680121328275865
0.88628596,0.016902213184818552
0.88559848,0.017002038259350066
0.88483465,0.0171018624546826
0.88426173,0.01720168716762128
0.8835361,0.017301511791849772
0.88292497,0.01740133744041314
0.88231391,0.017502337198956882
0.88162643,0.017602162200768604
0.88107264,0.01770198721828129
0.88032788,0.017801811831592806
0.87971681,0.017901635848910694
0.87914389,0.018001459742709856
0.87849462,0.018101284251944676
0.87778807,0.018202282751406305
0.87719607,0.018302106728072233
0.87656587,0.018401931127763255
0.87605023,0.01850175505726403
0.87543917,0.018601578754779042
0.8746562,0.018701402648813325
0.87410241,0.018802401756556154
0.87370139,0.018902226043591305
0.87301391,0.01900204990514746
0.87234551,0.019101873869378772
0.87175351,0.01920169853212176
0.87118065,0.01930152294043416
0.87051225,0.019402521909440095
0.86997759,0.019502345841582194
0.86953837,0.019602169658122916
0.86894637,0.01970199387232503
0.86827797,0.019801817796228013
0.86762869,0.019901641603804098
0.86711311,0.020001464857932236
0.86659747,0.020102463060287658
0.86589092,0.02020228653480264
0.86537528,0.020302110723968977
0.8648597,0.020401934469648792
0.86411494,0.02050175825193598
0.86365664,0.020601582244755057
0.86306465,0.020702581383917052
0.86252993,0.02080240578312285
0.86216712,0.020902229729387333
0.86140323,0.02100205419823085
0.86083037,0.02110187853136466
0.86037201,0.021201702983410523
0.85981822,0.02130270122819708
0.85935992,0.021402524952154153
0.85876793,0.02150234873878587
0.85825229,0.021602172965251906
0.85771763,0.021701996661715725
0.85720199,0.021801820949522887
0.85662913,0.02190164559221645
0.85609442,0.02200264482841208
0.85555971,0.022102469571415588
0.85502499,0.022202294315872496
0.85454756,0.022302118953139105
0.85387921,0.022401943920869104
0.85343999,0.022501768224071513
0.85301989,0.02260276687298198
0.85254246,0.022702591183494943
0.85206503,0.02280241562663379
0.85158765,0.022902239773426782
0.85093832,0.023002064355258492
0.85036546,0.023101888789705347
0.85005993,0.02320171339210523
0.84939152,0.023302713047121917
0.8489905,0.023402537903515108
0.84857041,0.023502362694195995
0.84805477,0.023602187317896792
0.84750098,0.023702011968489808
0.84704268,0.023801836423729378
0.84654617,0.023902835352587942
0.84603053,0.024002659731410136
0.84555316,0.02410248438527585
0.84513301,0.024202309213956694
0.84459829,0.024302134171873484
0.8440063,0.02440195937967615
0.84379625,0.024502959450939575
0.84314698,0.02460278445566106
0.84270775,0.024702609129884354
0.84209669,0.02480243425430571
0.84167653,0.02490225951032701
0.84127551,0.025002084534351324
0.84075993,0.02510190961510934
0.84022522,0.025202909282459118
0.83980507,0.025302734443820845
0.83927035,0.025402559359828818
0.83906031,0.02550238400808375
0.83850652,0.02560220852555374
0.8379336,0.025702033215356728
0.83753258,0.025803032020203807
0.83695972,0.025902856129262696
0.83665419,0.02600268048194134
0.83617675,0.02610250508566653
0.83577573,0.026202329598233237
0.83526009,0.026302154505092313
0.83474451,0.026403153789526814
0.8343817,0.026502978509251204
0.83388519,0.026602803044912506
0.83342683,0.026702627684563534
0.8331213,0.026802452123137612
0.83272028,0.026902276502610678
0.83214736,0.02700210036180551
0.83170819,0.027103099236165846
0.83123076,0.027202923906255602
0.83082974,0.027302748749993635
0.83039051,0.027402573716374397
0.82993221,0.02750239850832402
0.82956934,0.027602223019776332
0.82914925,0.0277032223711785
0.82861453,0.027803047390768283
0.82832807,0.027902871915357914
0.82777429,0.028002696904359067
0.82737327,0.02810252212828612
0.82687676,0.02820234706507183
0.82662851,0.0283033458078898
0.82599831,0.028403170200463096
0.82573098,0.028502994275968998
0.82521534,0.02860281880377127
0.8248716,0.028702643056821738
0.82448971,0.02880246740250469
0.82391679,0.028902291789300975
0.82355398,0.02900328982004294
0.82324839,0.029103113955736407
0.82279009,0.029202938606458964
0.82225537,0.029302763183845348
0.82196897,0.029402587460076995
0.82149154,0.029502411748157688
0.82118601,0.029603410566185418
0.82070857,0.02970323522109582
0.82023114,0.029803059717472748
0.81986833,0.02990288430039349
0.81931454,0.03000270918872843
0.81910449,0.030102533945531702
0.81868434,0.030203532928759824
0.81822604,0.030303357261411305
