normalizedCapacity,voltage
0.0,0.94174
0.0008026245823843969,0.93946
0.0010032807279804963,0.93032
0.0010032807279804963,0.93718
0.0010032807279804963,0.93489
0.0010032807279804963,0.93261
0.0012039368735765952,0.92347
0.0012039368735765952,0.92804
0.0012039368735765952,0.92576
0.0014045930191726945,0.91434
0.0014045930191726945,0.92119
0.0014045930191726945,0.9189
0.0014045930191726945,0.91662
0.0016052491647687939,0.90977
0.0016052491647687939,0.90748
0.0016052491647687939,0.91205
0.001805905310364893,0.89835
0.001805905310364893,0.9052
0.001805905310364893,0.90292
0.001805905310364893,0.90063
0.002006561455960992,0.88921
0.002006561455960992,0.89606
0.002006561455960992,0.89378
0.002006561455960992,0.8915
0.002207217601557092,0.88236
0.002207217601557092,0.88693
0.002207217601557092,0.88464
0.002407873747153191,0.87551
0.002407873747153191,0.88008
0.002407873747153191,0.87779
0.0026085298927492895,0.86637
0.0026085298927492895,0.87322
0.0026085298927492895,0.87094
0.0026085298927492895,0.86866
0.0028091860383453893,0.86409
0.0028091860383453893,0.8618
0.0028091860383453893,0.85952
0.0030098421839414883,0.85495
0.0030098421839414883,0.85724
0.0030098421839414883,0.85038
0.0030098421839414883,0.85267
0.003210498329537588,0.8481
0.003210498329537588,0.84353
0.003210498329537588,0.84582
0.0034111544751336867,0.83668
0.0034111544751336867,0.84125
0.0034111544751336867,0.83896
0.0034111544751336867,0.8344
0.0036118106207297857,0.83211
0.0036118106207297857,0.82754
0.0036118106207297857,0.82983
0.0038124667663258856,0.81841
0.0038124667663258856,0.82526
0.0038124667663258856,0.82298
0.0038124667663258856,0.82069
0.004013122911921985,0.81156
0.004013122911921985,0.81612
0.004013122911921985,0.81384
0.004213779057518085,0.8047
0.004213779057518085,0.80927
0.004213779057518085,0.80699
0.004414435203114183,0.80242
0.004414435203114183,0.79785
0.004414435203114183,0.80014
0.004414435203114183,0.79557
0.004615091348710283,0.79328
0.004615091348710283,0.78872
0.004615091348710283,0.791
0.004815747494306383,0.77958
0.004815747494306383,0.78643
0.004815747494306383,0.78415
0.004815747494306383,0.78186
0.00501640363990248,0.77273
0.00501640363990248,0.7773
0.00501640363990248,0.77501
0.00521705978549858,0.76359
0.00521705978549858,0.77044
0.00521705978549858,0.76816
0.00521705978549858,0.76588
0.00541771593109468,0.75674
0.00541771593109468,0.76131
0.00541771593109468,0.75902
0.00541771593109468,0.75446
0.005618372076690778,0.75217
0.005618372076690778,0.7476
0.005618372076690778,0.74989
0.005819028222286878,0.73847
0.005819028222286878,0.74532
0.005819028222286878,0.74304
0.005819028222286878,0.74075
0.0060196843678829775,0.72933
0.0060196843678829775,0.73618
0.0060196843678829775,0.7339
0.0060196843678829775,0.73162
0.006220340513479077,0.71791
0.006220340513479077,0.72705
0.006220340513479077,0.72476
0.006220340513479077,0.72248
0.006220340513479077,0.7202
0.0064209966590751755,0.70878
0.0064209966590751755,0.71563
0.0064209966590751755,0.71334
0.0064209966590751755,0.71106
0.006621652804671275,0.69736
0.006621652804671275,0.70649
0.006621652804671275,0.70421
0.006621652804671275,0.70192
0.006621652804671275,0.69964
0.006822308950267374,0.69507
0.006822308950267374,0.6905
0.006822308950267374,0.69279
0.006822308950267374,0.68822
0.007022965095863474,0.68594
0.007223621241459572,0.68137
0.007223621241459572,0.68365
0.007624933532651772,0.66766
0.007624933532651772,0.67908
0.007624933532651772,0.66538
0.00782558967824787,0.66995
0.00782558967824787,0.6768
0.00802624582384397,0.6631
0.00802624582384397,0.67452
0.00822690196944007,0.67223
0.008628214260632268,0.66081
0.009230182697420566,0.65853
0.009832151134208862,0.65624
0.01063477571659326,0.65396
0.011437400298977657,0.65236
0.012039368735765955,0.65031
0.012841993318150353,0.64871
0.013644617900534749,0.64642
0.014647898628515246,0.6446
0.015249867065303544,0.643
0.016253147793284038,0.64094
0.018249676441965228,0.64003
0.019252957169945722,0.63889
0.020858206334714517,0.63774
0.021259518625906717,0.63546
0.02206214320829111,0.63409
0.023065423936271607,0.63203
0.024670673101040402,0.63089
0.0254732976834248,0.62929
0.026075266120213096,0.62747
0.027279202993789692,0.62632
0.028483139867366288,0.62518
0.029285764449750687,0.62358
